LOAD_ZONE	TIMEPOINT	lz_demand_mw
S13	412269	479.073943691544
S13	412708	477.895158685249
S13	412712	319.199262571161
S13	412716	491.770767970455
S13	412720	476.36011865483
S13	412724	493.166973322355
S13	412728	493.216744244843
S13	499897	833.157400342401
S13	499901	836.380631728248
S13	499905	794.56573807402
S13	499909	847.396242775284
S13	499913	826.170828527674
S13	499917	796.599858421575
S13	500186	773.497129677614
S13	500190	744.627430183841
S13	500194	793.576990067821
S13	500198	715.06081579583
S13	500202	760.713097086452
S13	500206	819.362841154595
S13	587569	1395.60875759297
S13	587573	1401.00794140624
S13	587577	1330.96447572056
S13	587581	1419.46001689782
S13	587585	1383.90566186799
S13	587589	1334.37179847839
S13	587858	1295.67278368705
S13	587862	1247.31360758656
S13	587866	1329.30823960486
S13	587870	1197.7870403913
S13	587874	1274.25845329252
S13	587878	1372.50171011104
S14	324505	8.90349222596453
S14	324509	8.54130129825569
S14	324513	13.3303929246985
S14	324517	3.97305779846464
S14	324521	19.0393169986457
S14	324525	12.5353396687522
S14	325036	12.2206310882735
S14	325040	13.9333083104577
S14	325044	20.7519942208299
S14	325048	21.4940439263797
S14	325052	13.6296421363116
S14	325056	15.2385207389694
S14	412249	20.0656796290494
S14	412253	16.4823542369049
S14	412257	23.9883291267191
S14	412261	23.5940219485393
S14	412265	28.9336637757638
S14	412269	17.7312554586299
S14	412708	17.3856475733727
S14	412712	19.8221831644363
S14	412716	29.5227681256341
S14	412720	30.5784431206017
S14	412724	19.3901733078647
S14	412728	21.6790400752275
S14	499897	28.8865561650198
S14	499901	23.7280002570569
S14	499905	34.5336031190677
S14	499909	33.9659584312559
S14	499913	41.652907809233
S14	499917	25.5259186905643
S14	500186	27.8598203551929
S14	500190	24.8067513171613
S14	500194	40.3366958239483
S14	500198	34.3526805094066
S14	500202	39.8007125928272
S14	500206	29.1602016121322
S14	587569	41.4695619851891
S14	587573	34.0639352030536
S14	587577	49.5764668843527
S14	587581	48.7615557391023
S14	587585	59.7969461084484
S14	587589	36.6450282726712
S14	587858	39.9955792762502
S14	587862	35.6125910448241
S14	587866	57.9073911820114
S14	587870	49.3167342484163
S14	587874	57.1379332480499
S14	587878	41.8624075970428
S15	324505	90.8759843691342
S15	324509	69.5341465257581
S15	324513	61.0078360922838
S15	324517	83.2055969907578
S15	324521	94.553435828617
S15	324525	90.8704976828836
S15	325036	101.280113171886
S15	325040	96.7206768976146
S15	325044	119.988341614961
S15	325048	122.648012774952
S15	325052	112.549766730673
S15	325056	114.830856539372
S15	412249	170.866763405345
S15	412253	145.565916211865
S15	412257	157.770859382864
S15	412261	188.156285901382
S15	412265	177.703972569739
S15	412269	182.8544585879
S15	412708	180.235277783404
S15	412712	172.121431563324
S15	412716	213.527921765253
S15	412720	218.260998726967
S15	412724	200.290440401988
S15	412728	204.349804500663
S15	499897	287.232398120377
S15	499901	244.700879005565
S15	499905	265.217771969777
S15	499909	316.296628693479
S15	499913	298.725961558928
S15	499917	307.384090389826
S15	500186	325.968292036809
S15	500190	300.346796103101
S15	500194	340.256256297086
S15	500198	378.528468432528
S15	500202	365.352519770911
S15	500206	388.987980465683
S15	587569	480.746455419816
S15	587573	409.560624044705
S15	587577	443.900147139308
S15	587581	529.39182383563
S15	587585	499.983456257412
S15	587589	514.474735003335
S15	587858	545.579475022426
