PROJECT	timepoint	proj_max_capacity_factor
 286	325040	1
 286	325044	1
 286	325048	0.98
 286	325052	0.83
 286	325056	0.91
 286	412249	0.31
 286	412253	0.11
 286	412257	0.02
 286	412261	0
 286	412265	0
 286	412269	0
 286	412708	1
 286	412712	1
 286	412716	1
 286	412720	0.98
 286	412724	0.83
 286	412728	0.91
 286	499897	0.31
 286	499901	0.11
 286	499905	0.02
 286	499909	0
 286	499913	0
 286	499917	0
 286	500186	1
 286	500190	1
 286	500194	1
 286	500198	1
 286	500202	0.99
 286	500206	1
 286	587569	0.31
 286	587573	0.11
 286	587577	0.02
 286	587581	0
 286	587585	0
 286	587589	0
 286	587858	1
 286	587862	1
 286	587866	1
 286	587870	1
 286	587874	0.99
 286	587878	1
 287	324505	0.22
 287	324509	0.03
 287	324513	0.01
 287	324517	0.03
 287	324521	0.3
 287	324525	0.3
 287	325036	0.52
 287	325040	0.33
 287	325044	0.22
 287	325048	0
 287	325052	0
 287	325056	0
 287	412249	0.66
 287	412253	0.16
 287	412257	0.06
 287	412261	0.51
 287	412265	0.19
 287	412269	0.2
 287	412708	0.52
 287	412712	0.33
 287	412716	0.22
 287	412720	0
 287	412724	0
 287	412728	0
 287	499897	0.66
 287	499901	0.16
 287	499905	0.06
 287	499909	0.51
 287	499913	0.19
 287	499917	0.2
 287	500186	0.99
 287	500190	0.99
 287	500194	0.91
 287	500198	0.73
 287	500202	0.83
 287	500206	0.72
 287	587569	0.66
 287	587573	0.16
 287	587577	0.06
 287	587581	0.51
 287	587585	0.19
 287	587589	0.2
 287	587858	0.99
 287	587862	0.99
 287	587866	0.91
 287	587870	0.73
 287	587874	0.83
 287	587878	0.72
 289	324505	0.52
 289	324509	0.5
 289	324513	0.9
 289	324517	0.78
 289	324521	0.89
 289	324525	0.72
 289	325036	0
 289	325040	0
 289	325044	0
 289	325048	0
 289	325052	0.03
 289	325056	0.42
 289	412249	0.78
 289	412253	0.72
 289	412257	0.81
 289	412261	0.27
 289	412265	0.4
 289	412269	0.88
 289	412708	0
 289	412712	0
 289	412716	0
 289	412720	0
 289	412724	0.03
 289	412728	0.42
 289	499897	0.78
 289	499901	0.72
 289	499905	0.81
 289	499909	0.27
 289	499913	0.4
 289	499917	0.88
 289	500186	0.56
 289	500190	0.6
 289	500194	0.76
 289	500198	0.82
 289	500202	0.59
 289	500206	0.63
 289	587569	0.78
 289	587573	0.72
 289	587577	0.81
 289	587581	0.27
 289	587585	0.4
 289	587589	0.88
 289	587858	0.56
 289	587862	0.6
 289	587866	0.76
 289	587870	0.82
 289	587874	0.59
 289	587878	0.63
  29	324505	0.191867
  29	324509	0
  29	324513	0
  29	324517	0.947757
  29	324521	1
  29	324525	0.483347
  29	325036	0
  29	325040	0
  29	325044	0.00801673
  29	325048	1
  29	325052	0.973534
  29	325056	0.0803427
  29	412249	0
  29	412253	0
  29	412257	0
  29	412261	0.993288
  29	412265	1
  29	412269	0.412505
  29	412708	0
  29	412712	0
  29	412716	0.00801673
  29	412720	1
  29	412724	0.973534
  29	412728	0.0803427
  29	499897	0
  29	499901	0
  29	499905	0
  29	499909	0.993288
  29	499913	1
  29	499917	0.412505
  29	500186	0
  29	500190	0
  29	500194	0
  29	500198	0.984013
  29	500202	0.998824
  29	500206	0.440066
  29	587569	0
  29	587573	0
  29	587577	0
  29	587581	0.993288
  29	587585	1
  29	587589	0.412505
  29	587858	0
  29	587862	0
  29	587866	0
  29	587870	0.984013
  29	587874	0.998824
  29	587878	0.440066
 290	324505	0.79
 290	324509	0.75
 290	324513	0.85
 290	324517	0.59
 290	324521	0.98
 290	324525	0.98
 290	325036	0.02
 290	325040	0
 290	325044	0.06
 290	325048	0.01
 290	325052	0.06
 290	325056	0.19
 290	412249	0.62
 290	412253	0.86
 290	412257	0.95
 290	412261	0.55
 290	412265	0.46
 290	412269	0.83
 290	412708	0.02
 290	412712	0
 290	412716	0.06
 290	412720	0.01
 290	412724	0.06
 290	412728	0.19
 290	499897	0.62
 290	499901	0.86
 290	499905	0.95
 290	499909	0.55
 290	499913	0.46
 290	499917	0.83
 290	500186	0.67
 290	500190	0.56
 290	500194	0.67
 290	500198	0.67
